No;L;B;d;volume;H0;sigma;OG/d;R
A;0.8;0.28;0.112;0.02509;1.25;1;0;0
B;0.8;0.28;0.112;0.02501;1.25;0.997;0;0.01
C;0.8;0.28;0.112;0.02495;1.25;0.995;0;0.02
D;0.8;0.28;0.112;0.02475;1.25;0.988;0;0.03
E;0.8;0.024;0.07;0.00116;0.171;0.866;-1.753;
F;0.8;0.064;0.15;0.00763;0.21;0.992;-0.8;
G;0.8;0.185;0.192;0.02321;0.485;0.799;0;
H;0.8;0.398;0.193;0.0549;1.036;0.893;0;
I;0.8;0.237;0.096;0.01775;1.232;0.977;0;
J;0.8;0.343;0.192;0.03163;0.8895;0.593;0;
K;1;0.193;0.125;0.01228;0.777;0.541;0;
L;1;0.151;0.144;0.00933;0.5235;0.43;0;
